"","CTRL1","CTRL2","CTRL3","CTRL4","AA1","AA2","AA3","AA4"
"CCN1",7.8044814832913,7.86012905113281,7.95860635784636,8.38544728886304,8.35404848606085,8.39901194301196,8.74735470141442,8.87262969874783
"IL1B",7.27602230217447,6.28953179137898,7.34649198570986,6.50358631645915,8.64397886643242,8.5519619479991,8.50842454395776,8.59930567382218
"IL6",5.86208423613161,5.39666469602055,6.15323292558612,5.23184433372276,7.25771921248529,7.29244813937031,5.70453610463084,5.73701614818167
"CXCL8",6.21329225662043,6.64261571384623,6.46376685479598,5.80037500565125,9.80240185070775,9.77831829123945,9.83489292190902,9.72526762374473
"IL13RA2",5.06146150507869,5.11786173941297,5.12587997722552,5.91141738391524,5.25988703216443,5.04532406164357,6.26996966400656,6.44055644039805
"IRF1",7.61191634886821,6.61942012313915,7.65354315919663,6.57726850204618,8.97441876568051,8.92468953521346,8.07140431509692,8.07409061705483
"ITPR1",4.89801927049653,5.04547935921443,4.8898688994284,6.12824087584402,5.05921758387417,5.34085673182567,6.34716873643097,6.64440095650161
"JUN",5.17210221584907,5.97532797455457,5.53072254279417,5.64974305475814,6.23532114236148,5.82429055615551,6.90300978097634,6.94781647461042
"JUNB",8.25902481837118,7.39438089672279,8.17497639675847,6.72274952082383,9.09386741966824,9.12088789632188,8.13616663906769,8.09146939379924
"AREG",5.97780580212585,5.92894059778268,6.34366114376498,5.89363326018997,6.53616202396191,6.6091881326383,7.02042730151526,7.34913642356602
"KPNA1",6.93148853531938,7.26634632008259,7.19814775616118,8.08500959005669,7.35304395736025,7.26780203439524,8.3048946475356,8.29522436105873
"KRT81",10.1131165110084,9.20806409056138,10.0189562726242,10.5657152217439,10.2902310404943,10.3158506068535,10.8816963971409,10.9551193900907
"LAMB3",6.99695614248877,6.41807396782193,6.63544795910153,6.78832045291938,7.43356811432243,7.29076011144476,7.12480217315821,7.22892517072481
"LDLR",8.12211752086981,7.90128331688423,7.98213945020382,8.73237906985263,8.26457887947996,8.35511735975506,8.93979855979907,8.70624387611493
"LIF",8.66120249302207,8.8140044833365,8.60342116966665,9.28591328603145,9.56303432845736,9.48398355398187,10.6927027661541,10.5337564309768
"LIFR",3.96352473756935,3.93276912435317,4.46804784883752,3.90736602870557,4.55829083121164,4.44856213623362,4.35671274157447,4.19901059241903
